cluster	kTotal	kWithin	kOut	kDiff
EOG700J33	18.54807881	2.95108417	15.59699464	-12.64591047
EOG700J34	20.65134685	2.99815055	17.6531963	-14.65504575
EOG700J35	48.98328794	16.48433941	32.49894853	-16.01460912
EOG700J36	28.83592327	6.107920288	22.72800298	-16.6200827
EOG700J37	27.92234774	8.660439213	19.26190852	-10.60146931
EOG700J38	11.91058298	4.531027873	7.379555111	-2.848527238
EOG700J39	48.84561015	14.82354395	34.0220662	-19.19852225
EOG700J3B	55.90835593	20.73408704	35.17426889	-14.44018185
EOG700J3C	60.99190461	36.39759463	24.59430998	11.80328465
EOG700J3D	19.14340912	9.743356264	9.400052859	0.343303405
EOG700J3F	42.76984614	24.20794357	18.56190257	5.646041008
EOG700J3G	65.92301994	19.34681696	46.57620298	-27.22938602
EOG700J3J	28.73056254	13.39190369	15.33865886	-1.946755171
EOG700J3K	27.63756397	3.804679516	23.83288445	-20.02820494
EOG700J3M	33.56062421	9.135755912	24.42486829	-15.28911238
EOG700J3P	13.79033686	6.708278901	7.082057963	-0.373779062
EOG700J3Q	45.02868802	9.587999003	35.44068901	-25.85269001
EOG700J3R	16.43970665	2.664988795	13.77471785	-11.10972906
EOG700J3S	13.79296426	5.013627209	8.779337055	-3.765709846
EOG700J3T	27.31904192	8.279663126	19.0393788	-10.75971567
EOG700J3W	18.55147632	3.785943175	14.76553314	-10.97958997
EOG700J3X	6.582574218	1.346967746	5.235606472	-3.888638725
EOG700J3Z	17.98764709	2.855375468	15.13227163	-12.27689616
EOG700J41	91.46273786	61.89319079	29.56954707	32.32364373
EOG700J42	67.72609545	28.11166899	39.61442647	-11.50275748
EOG700J45	58.73797072	14.60288156	44.13508916	-29.53220759
EOG703D9Z	19.80152206	11.88537233	7.916149733	3.969222593
EOG703DB0	21.67438423	5.933693273	15.74069096	-9.806997685
EOG703DB1	11.16432174	2.013364239	9.150957501	-7.137593262
EOG703DB2	19.17253206	10.46896593	8.703566131	1.765399799
EOG703DB3	13.4160414	3.815212477	9.600828924	-5.785616447
EOG703DB4	35.28718473	28.72143298	6.56575175	22.15568123
EOG703DB5	36.25161833	5.293327811	30.95829052	-25.66496271
EOG703DB6	25.49364877	15.02797753	10.46567124	4.562306287
EOG703DB7	89.44030319	52.52881898	36.91148422	15.61733476
EOG703DB8	48.18620131	25.69453219	22.49166912	3.202863064
EOG703DBB	63.62542843	40.32700848	23.29841994	17.02858854
EOG703DBC	15.99887385	4.34015128	11.65872257	-7.318571288
EOG703DBD	52.80897835	34.918477	17.89050135	17.02797565
EOG703DBF	10.91156965	2.676903782	8.234665865	-5.557762083
EOG703DBG	7.783014349	1.627768095	6.155246254	-4.527478159
EOG703DBH	77.4429883	61.27101058	16.17197772	45.09903285
EOG703DBJ	97.83978275	37.01239382	60.82738893	-23.8149951
EOG703DBK	29.17904708	3.880072385	25.29897469	-21.41890231
EOG703DBP	61.22338411	13.17792861	48.0454555	-34.86752689
