cluster	Exp
EOG700J33	134.4233136
EOG700J34	100.8338819
EOG700J35	38.20731725
EOG700J36	52.73581538
EOG700J37	90.63811495
EOG700J38	4.575824567
EOG700J39	144.7200204
EOG700J3B	695.2534225
EOG700J3C	452.6165375
EOG700J3D	24.4272809
EOG700J3F	55.85419936
EOG700J3G	70.84800225
EOG700J3H	1.278145605
EOG700J3J	57.40879529
EOG700J3K	84.55474295
EOG700J3M	63.86257557
EOG700J3N	1.367468754
EOG700J3P	162.6966577
EOG700J3Q	131.3061535
EOG700J3R	77.00566022
EOG700J3S	5.750868121
EOG700J3T	94.1707245
EOG700J3W	2150.569481
EOG700J3X	65.46868774
EOG700J3Z	162.0834043
EOG700J40	0.496382999
EOG700J41	8.758740966
EOG700J42	661.9671345
EOG700J43	84.34899814
EOG700J45	318.1549056
EOG700J49	350.287473
EOG700J4D	19.98594624
EOG700J4F	0.570452055
EOG703D9Z	2.18857015
EOG703DB0	33.31857736
EOG703DB1	4.800705034
EOG703DB2	51.38223339
EOG703DB3	116.1759716
EOG703DB4	237.6291765
EOG703DB5	34.51493864
EOG703DB6	15.79760909
EOG703DB7	33.83748267
EOG703DB8	121.4201083
EOG703DB9	4.851210703
EOG703DBB	16.18445981
EOG703DBC	121.8866877
EOG703DBD	210.5266592
EOG703DBF	59.32109216
EOG703DBG	72.09132909
EOG703DBH	353.7466163
EOG703DBJ	7.234186117
EOG703DBK	85.94579965
EOG703DBM	2.467525205
EOG703DBN	3.131980331
EOG703DBP	14.45316947
EOG703DBR	5.116684314
EOG703DBT	58.22183333
EOG703DBV	62.83646408
EOG703DBX	28.27160247
EOG703DBZ	216.0987762
EOG703DC0	3.337174852
EOG703DC2	150.154315
EOG703DC3	179.4614124
EOG703DC4	243.2944553
EOG703DC6	776.0443304
EOG7068JV	33.16827655
EOG7068JW	48.60037627
EOG7068JX	131.1281633
EOG7068JZ	66.06586779
EOG7068K0	36.5910644
EOG7068K1	133.5466456
EOG7068K2	14.18290961
EOG7068K3	17.94990986
EOG7068K4	6.054911579
EOG7068K5	5.374335063
EOG7068K6	86.90756082
EOG7068K7	16.49545844
EOG7068K8	64.15014166
EOG7068K9	18.34178771
EOG7068KB	59.71879172
EOG7068KC	24.81203021
EOG7068KD	3.124018102
EOG7068KF	89.64638496
EOG7068KH	261.8371
EOG7068KJ	187.453072
EOG7068KK	113.6768391
EOG7068KM	14.59944724
EOG7068KN	120.0331135
EOG7068KP	27.76554817
EOG7068KQ	140.0293836
EOG7068KR	51.09809464
EOG7068KT	79.80073893
EOG7068KV	1.644182398
EOG7068KW	0.567371993
EOG7068KX	71.70909694
EOG7068M0	70.27915309
EOG7068M1	39.16475489
EOG7068M3	4.560151763
EOG7068M4	989.626557
EOG7094SS	42.19043519
EOG7094ST	2.489142279
EOG7094SV	76.8796877
EOG7094SW	75.45220363
EOG7094SX	65.64023798
EOG7094SZ	58.95542511
EOG7094T0	64.96766463
EOG7094T1	197.676023
EOG7094T2	1.310510975
EOG7094T3	216.196456
EOG7094T4	69.35711897
EOG7094T5	10.07269723
EOG7094T6	4.296537731
EOG7094T7	147.8469332
EOG7094T8	170.3354208
EOG7094T9	137.524792
EOG7094TB	25.17203685
EOG7094TC	112.8673332
EOG7094TD	3.167232575
EOG7094TF	157.7513387
EOG7094TG	2.441065443
EOG7094TH	114.8338273
EOG7094TK	58.77057539
EOG7094TM	92.00757851
