Cluster	Caste	Module	dnds	total	Intra	Ext	Exp
EOG703DB2	Queen	 Brown	0.34082	19.17253206	10.46896593	8.703566131	51.38223339
EOG703DBX	Queen	 Brown	0.06854	36.63660846	12.80523151	23.83137695	28.27160247
EOG7068KB	Queen	 Brown	0.06227	29.45180869	9.362275747	20.08953295	59.71879172
EOG7094SX	Queen	 Brown	0.10083	26.59701224	8.798640685	17.79837155	65.64023798
EOG7094TW	Queen	 Brown	0.15596	71.96324982	33.19714122	38.76610859	4.257306346
EOG70D124	Queen	 Brown	0.01713	27.92356797	8.478233446	19.44533453	192.6922977
EOG70KRHP	Queen	 Brown	0.14398	44.50086443	23.81372479	20.68713964	33.50721731
EOG70PMRJ	Queen	 Brown	0.08898	35.20899607	15.26416764	19.94482843	35.97810138
EOG70PMRK	Queen	 Brown	0.1393	29.73380975	20.29649554	9.437314213	104.7048741
EOG70PMRN	Queen	 Brown	0.04864	60.16612883	25.69175652	34.47437231	25.13511566
EOG70SH0J	Queen	 Brown	0.18663	41.24373169	18.38022999	22.8635017	50.85664473
EOG7107GJ	Queen	 Brown	0.3047	76.39763813	61.47310266	14.92453547	571.3427223
EOG718V6J	Queen	 Brown	0.15779	68.79945441	53.72481417	15.07464024	349.2291247
EOG71PB5C	Queen	 Brown	0.25586	159.5777379	99.44646478	60.13127315	27.67779945
EOG71S6D4	Queen	 Brown	0.1815	27.45180363	9.803847048	17.64795658	60.8593511
EOG71S6DF	Queen	 Brown	0.05096	57.01861279	34.48240312	22.53620967	43.93049645
EOG71W2MT	Queen	 Brown	0.07991	79.56405546	64.72629277	14.83776269	72.93151953
EOG71W2MX	Queen	 Brown	0.06623	67.4551091	43.31621153	24.13889757	17.85206508
EOG71ZXVT	Queen	 Brown	0.05047	66.72364113	32.85576661	33.86787451	28.25473588
EOG722T3M	Queen	 Brown	0.03376	53.61807221	22.23177298	31.38629923	90.66839948
EOG722T3X	Queen	 Brown	0.09243	27.04695013	8.53687487	18.51007526	428.2551073
EOG725PCB	Queen	 Brown	0.31061	26.09801569	15.8560221	10.2419936	9.741793913
EOG72CDTW	Queen	 Brown	0.02847	24.25570466	6.159688006	18.09601666	176.7541143
EOG72CDVK	Queen	 Brown	0.31321	55.34636292	33.53934741	21.80701552	25.68822464
EOG72K59S	Queen	 Brown	0.00643	54.36385895	22.55355181	31.81030713	109.3681841
EOG72P1JP	Queen	 Brown	0.03743	82.78317957	53.55485351	29.22832606	19.53914476
EOG72RWSQ	Queen	 Brown	0.12406	33.04598826	22.22112709	10.82486116	195.3785007
EOG72VS17	Queen	 Brown	0.0923	101.0265022	62.79595965	38.23054256	513.9798743
EOG732HH5	Queen	 Brown	0.00867	54.08734116	19.021568	35.06577316	9.71379862
EOG735CQW	Queen	 Brown	0.10967	29.09617335	15.15728274	13.93889061	15.5307641
EOG735CR3	Queen	 Brown	0.232	33.12945457	10.71938654	22.41006803	53.57767194
EOG73C46S	Queen	 Brown	0.07343	52.69548144	29.24469007	23.45079136	39.96128955
EOG73JVPH	Queen	 Brown	0.06193	54.2293729	26.26078211	27.96859079	50.12600432
EOG73JVPS	Queen	 Brown	0.12564	14.35334668	5.927031131	8.426315547	28.85841741
EOG73RM63	Queen	 Brown	0.2452	66.04872619	27.18180462	38.86692158	24.78491197
EOG73VGDB	Queen	 Brown	0.01721	52.49538952	26.85734718	25.63804233	124.8927961
EOG7426WC	Queen	 Brown	0.09433	88.70203166	57.79861528	30.90341638	20.26948416
EOG745347	Queen	 Brown	0.11821	27.70794987	7.206524864	20.50142501	93.43274279
EOG745348	Queen	 Brown	0.08886	57.42978605	39.24969943	18.18008661	33.67657764
EOG74BTM1	Queen	 Brown	0.1023	53.29005705	27.52406291	25.76599414	24.23995193
EOG74FPV3	Queen	 Brown	0.22916	56.27292782	40.52506526	15.74786256	70.00933576
EOG74FPV5	Queen	 Brown	0.06241	84.79492708	53.48141852	31.31350856	52.42003233
EOG74FPVC	Queen	 Brown	0.07116	38.10458986	27.10100947	11.00358038	107.0387046
EOG74JK33	Queen	 Brown	0.13013	50.875833	18.87709245	31.99874055	91.86021866
EOG74NF9Z	Queen	 Brown	0.18313	18.81729438	7.055701023	11.76159335	105.5067207
EOG74NFB5	Queen	 Brown	0.07584	30.85026962	22.95424565	7.896023972	25.6824439
EOG74NFBK	Queen	 Brown	0.43113	24.77406632	7.490862146	17.28320417	190.8719817
EOG74NFBQ	Queen	 Brown	0.08731	51.22585138	22.99022627	28.23562512	52.03493824
EOG74R9JW	Queen	 Brown	0.09785	60.58601399	35.38576838	25.20024561	341.6708719
